"team","alpha","delta","XG","XGA"
"Arsenal",0.282524651962451,0.664408836475232,1.76197229625625,0.683519780006762
"Aston Villa",0.127861566483918,-0.0440370706236093,1.50948829968521,1.38811432187343
"Bournemouth",0.00997751657849009,0.0238689636216876,1.34163184671932,1.29698220991926
"Brentford",0.0551491163093653,-0.0971881667702029,1.4036251304391,1.46389006323619
"Brighton",0.0524437269315948,-0.0094849411947684,1.39983290995034,1.3409711546313
"Chelsea",0.264157343262122,0.0113955499891879,1.72990500360925,1.31326132248352
"Crystal Palace",-0.0600008478931272,0.0748269417276047,1.25095630727801,1.2325463229891
"Everton",-0.327127169122531,0.159682064267432,0.957702572254826,1.13227296770878
"Fulham",-0.0451461433093636,0.0658718311262995,1.26967759904352,1.24363348090184
"Ipswich",-0.41009357915363,-0.323472022101883,0.881452268527422,1.83561793590906
"Leicester",-0.50765113235955,-0.381216499166931,0.799521400406921,1.94473486522394
"Liverpool",0.448597859990062,0.374828069880658,2.08028938725019,0.913091743796755
"Man City",0.425689552937711,0.308658104879567,2.03317519283103,0.975554792028507
"Man United",-0.051470621002022,0.0194707379773397,1.26167289087233,1.30269919341093
"Newcastle",0.242786526567659,0.0100414823449304,1.6933277558018,1.31504077162411
"Nott'm Forest",0.00465812793675957,0.0156514279982179,1.33451413323812,1.30768411886825
"Southampton",-0.704610924330648,-0.434978028872432,0.65658588464067,2.05214827076002
"Tottenham",0.277106630772691,-0.0547983615894379,1.75245170768436,1.40313288863271
"West Ham",-0.0634020664758769,-0.183203421885658,1.24670875895437,1.59538099239339
"Wolves",-0.0214501360860752,-0.200325498083235,1.30012318340698,1.62293242306621
